ASCII SAMPLE CYCLES :			3.mdc
DATE :	2/22/2019	TIME :	2:52:35 PM
CONVERTED CYCLES :			184
Number of stored cycles			184
Printed start cycle			1
Printed end cycle			184
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.4506E-010	max:	2.52616E-010	
'0/1'	44.00	min:	6.1708E-012	max:	7.24187E-012	
'0/2'	28.00	min:	7.35579E-012	max:	7.6642E-012	
'0/3'	32.00	min:	4.26812E-010	max:	4.36926E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
149	2/22/2019	3:39:42:90 PM	2827.91	2.50065E-010	6.90709E-012	7.56292E-012	4.33269E-010	
150	2/22/2019	3:39:45:35 PM	2830.36	2.49509E-010	6.8005E-012	7.56818E-012	4.32694E-010	
151	2/22/2019	3:39:47:81 PM	2832.81	2.49694E-010	6.81385E-012	7.528E-012	4.33975E-010	
152	2/22/2019	3:39:50:26 PM	2835.26	2.48976E-010	6.8133E-012	7.55298E-012	4.32607E-010	
153	2/22/2019	3:39:52:70 PM	2837.7	2.48767E-010	6.60976E-012	7.54367E-012	4.31773E-010	
154	2/22/2019	3:39:55:15 PM	2840.16	2.49893E-010	6.64257E-012	7.53842E-012	4.32136E-010	
155	2/22/2019	3:39:57:60 PM	2842.61	2.48318E-010	6.8398E-012	7.59954E-012	4.33182E-010	
156	2/22/2019	3:40:00:06 PM	2845.06	2.50429E-010	6.57584E-012	7.59945E-012	4.33253E-010	
157	2/22/2019	3:40:02:50 PM	2847.5	2.48397E-010	6.95306E-012	7.58712E-012	4.33564E-010	
158	2/22/2019	3:40:04:96 PM	2849.97	2.49356E-010	7.0248E-012	7.60253E-012	4.33689E-010	
159	2/22/2019	3:40:07:42 PM	2852.42	2.50621E-010	6.87502E-012	7.60463E-012	4.33875E-010	
160	2/22/2019	3:40:09:85 PM	2854.86	2.47655E-010	6.74137E-012	7.55949E-012	4.3324E-010	
161	2/22/2019	3:40:12:31 PM	2857.31	2.48524E-010	6.736E-012	7.57965E-012	4.3232E-010	
162	2/22/2019	3:40:14:76 PM	2859.76	2.48767E-010	6.48519E-012	7.60047E-012	4.33489E-010	
163	2/22/2019	3:40:17:21 PM	2862.22	2.50432E-010	6.67927E-012	7.58452E-012	4.33614E-010	
164	2/22/2019	3:40:19:67 PM	2864.67	2.50436E-010	6.83331E-012	7.57611E-012	4.35467E-010	
165	2/22/2019	3:48:49:68 PM	3374.69	2.4784E-010	6.94936E-012	7.5295E-012	4.30567E-010	
166	2/22/2019	3:48:52:14 PM	3377.14	2.49879E-010	6.7499E-012	7.56293E-012	4.31201E-010	
167	2/22/2019	3:48:54:60 PM	3379.61	2.47099E-010	7.11452E-012	7.56107E-012	4.3069E-010	
168	2/22/2019	3:48:57:04 PM	3382.05	2.48976E-010	6.76065E-012	7.5254E-012	4.30492E-010	
169	2/22/2019	3:48:59:50 PM	3384.5	2.48397E-010	6.75046E-012	7.53356E-012	4.30567E-010	
170	2/22/2019	3:49:01:95 PM	3386.95	2.4752E-010	6.64109E-012	7.57559E-012	4.31972E-010	
171	2/22/2019	3:49:04:40 PM	3389.41	2.4752E-010	6.91581E-012	7.58233E-012	4.30741E-010	
172	2/22/2019	3:49:06:84 PM	3391.84	2.48794E-010	6.60586E-012	7.53436E-012	4.32797E-010	
173	2/22/2019	3:49:09:29 PM	3394.3	2.49215E-010	6.77789E-012	7.60846E-012	4.32373E-010	
174	2/22/2019	3:49:11:75 PM	3396.75	2.48248E-010	6.63237E-012	7.54544E-012	4.32422E-010	
175	2/22/2019	3:49:14:20 PM	3399.2	2.4988E-010	6.78456E-012	7.6182E-012	4.32631E-010	
176	2/22/2019	3:49:16:65 PM	3401.66	2.49138E-010	6.78419E-012	7.57603E-012	4.32572E-010	
177	2/22/2019	3:49:19:09 PM	3404.09	2.49522E-010	6.99292E-012	7.6642E-012	4.31774E-010	
178	2/22/2019	3:49:21:54 PM	3406.55	2.48582E-010	6.74879E-012	7.57453E-012	4.31103E-010	
179	2/22/2019	3:49:24:00 PM	3409	2.49138E-010	7.01961E-012	7.6162E-012	4.31736E-010	
180	2/22/2019	3:49:26:45 PM	3411.45	2.49372E-010	6.97345E-012	7.58925E-012	4.32432E-010	
181	2/22/2019	3:49:28:89 PM	3413.89	2.49372E-010	7.14177E-012	7.5854E-012	4.32743E-010	
182	2/22/2019	3:49:31:34 PM	3416.34	2.48066E-010	6.94565E-012	7.57632E-012	4.32348E-010	
183	2/22/2019	3:49:33:79 PM	3418.8	2.50978E-010	6.83443E-012	7.54968E-012	4.32208E-010	
184	2/22/2019	3:49:36:25 PM	3421.25	2.48397E-010	6.75731E-012	7.57894E-012	4.31871E-010	

