ASCII SAMPLE CYCLES :			ar_o2_co2_co_disc.mdc
DATE :	2/25/2019	TIME :	10:43:51 AM
CONVERTED CYCLES :			3372
Number of stored cycles			3372
Printed start cycle			1
Printed end cycle			3372
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	3.09977E-010	max:	3.14889E-010	
'0/1'	44.00	min:	5.34979E-012	max:	5.72313E-012	
'0/2'	28.00	min:	7.61571E-012	max:	7.76286E-012	
'0/3'	32.00	min:	4.99929E-010	max:	5.04661E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
167	2/25/2019	11:47:50:92 AM	3839.92	2.62281E-010	5.96967E-012	7.31911E-012	4.35025E-010	
168	2/25/2019	11:47:53:37 AM	3842.37	2.62132E-010	6.3026E-012	7.33386E-012	4.36202E-010	
169	2/25/2019	11:47:55:82 AM	3844.83	2.61539E-010	6.06384E-012	7.28247E-012	4.35437E-010	
170	2/25/2019	11:47:58:28 AM	3847.28	2.60872E-010	5.98784E-012	7.31156E-012	4.35017E-010	
171	2/25/2019	11:48:00:73 AM	3849.73	2.61131E-010	6.18767E-012	7.28314E-012	4.36394E-010	
172	2/25/2019	11:48:03:17 AM	3852.17	2.61836E-010	6.70875E-012	7.3084E-012	4.36687E-010	
173	2/25/2019	11:48:05:62 AM	3854.62	2.6343E-010	6.0542E-012	7.34106E-012	4.36554E-010	
174	2/25/2019	11:48:08:07 AM	3857.08	2.61002E-010	6.35617E-012	7.35203E-012	4.37163E-010	
175	2/25/2019	11:48:10:53 AM	3859.53	2.63096E-010	6.1239E-012	7.30617E-012	4.3545E-010	
176	2/25/2019	11:48:12:96 AM	3861.97	2.62652E-010	6.4014E-012	7.32627E-012	4.35057E-010	
177	2/25/2019	11:48:15:42 AM	3864.42	2.60612E-010	5.99711E-012	7.2854E-012	4.35551E-010	
178	2/25/2019	11:48:17:89 AM	3866.89	2.61601E-010	6.30519E-012	7.28099E-012	4.35466E-010	
179	2/25/2019	11:48:20:34 AM	3869.34	2.62036E-010	6.09702E-012	7.26164E-012	4.35932E-010	
180	2/25/2019	11:48:22:79 AM	3871.8	2.61317E-010	6.0466E-012	7.29449E-012	4.35946E-010	
181	2/25/2019	11:48:25:25 AM	3874.25	2.61335E-010	6.24699E-012	7.33499E-012	4.35678E-010	
182	2/25/2019	11:56:34:78 AM	4363.78	2.57647E-010	6.13539E-012	7.20143E-012	4.2942E-010	
183	2/25/2019	11:56:37:23 AM	4366.23	2.5798E-010	6.03363E-012	7.18309E-012	4.29028E-010	
184	2/25/2019	11:56:39:68 AM	4368.69	2.56442E-010	6.40567E-012	7.13251E-012	4.29486E-010	
185	2/25/2019	11:56:42:14 AM	4371.14	2.58648E-010	6.57454E-012	7.16538E-012	4.29959E-010	
186	2/25/2019	11:56:44:57 AM	4373.58	2.58814E-010	6.33838E-012	7.22265E-012	4.30138E-010	
187	2/25/2019	11:56:47:03 AM	4376.03	2.56738E-010	6.30723E-012	7.24603E-012	4.30998E-010	
188	2/25/2019	11:56:49:48 AM	4378.48	2.58332E-010	6.18878E-012	7.20551E-012	4.30326E-010	
189	2/25/2019	11:56:51:95 AM	4380.95	2.57424E-010	6.1771E-012	7.20196E-012	4.30509E-010	
190	2/25/2019	11:56:54:40 AM	4383.41	2.59241E-010	6.42124E-012	7.21522E-012	4.30812E-010	
191	2/25/2019	11:56:56:86 AM	4385.86	2.5861E-010	6.25366E-012	7.19462E-012	4.30743E-010	
192	2/25/2019	11:56:59:29 AM	4388.3	2.56998E-010	5.98024E-012	7.20654E-012	4.31555E-010	
193	2/25/2019	11:57:01:75 AM	4390.75	2.57962E-010	6.24087E-012	7.20866E-012	4.31728E-010	
194	2/25/2019	11:57:04:21 AM	4393.22	2.57739E-010	6.04308E-012	7.19471E-012	4.31714E-010	
195	2/25/2019	11:57:06:65 AM	4395.66	2.58759E-010	6.21844E-012	7.21143E-012	4.31845E-010	
196	2/25/2019	11:57:09:11 AM	4398.11	2.58573E-010	6.33318E-012	7.2343E-012	4.31366E-010	
197	2/25/2019	11:57:11:56 AM	4400.56	2.57906E-010	6.07459E-012	7.23265E-012	4.31851E-010	
198	2/25/2019	11:57:14:01 AM	4403.02	2.59055E-010	6.20658E-012	7.2542E-012	4.31787E-010	
199	2/25/2019	12:00:59:84 PM	4628.84	2.56497E-010	5.94521E-012	7.23373E-012	4.28916E-010	
200	2/25/2019	12:01:02:29 PM	4631.3	2.5798E-010	5.90924E-012	7.21041E-012	4.28992E-010	
201	2/25/2019	12:01:04:75 PM	4633.75	2.58703E-010	6.40641E-012	7.18632E-012	4.29302E-010	
202	2/25/2019	12:01:15:87 PM	4644.87	2.56516E-010	5.94632E-012	7.24931E-012	4.30096E-010	
203	2/25/2019	12:01:18:34 PM	4647.34	2.57016E-010	6.09888E-012	7.14441E-012	4.29437E-010	
204	2/25/2019	12:01:20:78 PM	4649.78	2.57758E-010	6.15319E-012	7.21389E-012	4.29282E-010	
205	2/25/2019	12:01:23:23 PM	4652.23	2.57869E-010	6.16709E-012	7.21369E-012	4.30091E-010	
206	2/25/2019	12:01:25:68 PM	4654.69	2.56201E-010	6.33856E-012	7.20308E-012	4.30236E-010	
207	2/25/2019	12:01:28:14 PM	4657.14	2.59333E-010	6.36803E-012	7.20728E-012	4.30546E-010	
208	2/25/2019	12:01:30:59 PM	4659.59	2.56293E-010	5.97561E-012	7.18234E-012	4.2906E-010	
209	2/25/2019	12:01:33:04 PM	4662.05	2.56034E-010	6.27072E-012	7.22611E-012	4.29996E-010	
